,Year,Award,Winner
619,1979,Original Musical Score,Sweeney Todd
620,1979,Play,Sweeney Todd
621,1979,Regional Theatre Tony Award,The Elephant Man by Bernard Pomerance
622,1979,Scenic Designer,American Conservatory Theater
623,1979,Special Tony Award,Eugene Lee
624,1980,Actor (Musical),Jim Dale
625,1980,Actor (Play),John Rubinstein
626,1980,Actress (Musical),Patti LuPone
627,1980,Actress (Play),Phyllis Frelich
628,1980,Actor (Featured Role – Musical),Mandy Patinkin
629,1980,Actor (Featured Role – Play),David Rounds
630,1980,Actress (Featured Role – Musical),Priscilla Lopez
631,1980,Actress (Featured Role – Play),Dinah Manoff
632,1980,Book (Musical),Evita by Tim Rice
633,1980,Choreographer,Tommy Tune and Thommie Walsh
634,1980,Costume Designer,Theoni V
635,1980,Director (Musical),Harold Prince
636,1980,Director (Play),Vivian Matalon
637,1980,Lighting Designer,David Hersey
638,1980,Musical,Evita
639,1980,Original Musical Score,Evita
640,1980,Play,Children of a Lesser God by Mark Medoff
641,1980,Regional Theatre Tony Award,Actors Theatre of Louisville
642,1980,Revival,Morning's at Seven
643,1980,Scenic Designer,John Lee Beatty
644,1980,Special Tony Award,David Mitchell
645,1981,Actor (Musical),Kevin Kline
646,1981,Actor (Play),Ian McKellen
647,1981,Actress (Musical),Lauren Bacall
648,1981,Actress (Play),Jane Lapotaire
649,1981,Actor (Featured Role – Musical),Hinton Battle
650,1981,Actor (Featured Role – Play),Brian Backer
651,1981,Actress (Featured Role – Musical),Marilyn Cooper
652,1981,Actress (Featured Role – Play),Swoosie Kurtz
653,1981,Book (Musical),Woman of the Year by Peter Stone
654,1981,Choreographer,Gower Champion
655,1981,Costume Designer,Willa Kim
656,1981,Director (Musical),Wilford Leach
657,1981,Director (Play),Peter Hall
658,1981,Lighting Designer,John Bury
659,1981,Musical,42nd Street
660,1981,Original Musical Score,Woman of the Year
661,1981,Play,Amadeus by Peter Shaffer
662,1981,Regional Theatre Tony Award,Trinity Square Repertory Company
663,1981,Revival,The Pirates of Penzance
664,1981,Scenic Designer,John Bury
665,1981,Special Tony Award,Lena Horne
666,1982,Actor (Musical),Ben Harney
667,1982,Actor (Play),Roger Rees
668,1982,Actress (Musical),Jennifer Holliday
669,1982,Actress (Play),Zoe Caldwell
670,1982,Actor (Featured Role – Musical),Cleavant Derricks
671,1982,Actor (Featured Role – Play),Zakes Mokae
672,1982,Actress (Featured Role – Musical),Liliane Montevecchi
673,1982,Actress (Featured Role – Play),Amanda Plummer
674,1982,Book (Musical),Dreamgirls by Tom Eyen
675,1982,Choreographer,Michael Bennett/Michael Peters
676,1982,Costume Designer,William Ivey Long
677,1982,Director (Musical),Tommy Tune
678,1982,Director (Play),Trevor Nunn/John Caird
679,1982,Lighting Designer,Tharon Musser
680,1982,Musical,Nine
681,1982,Original Musical Score,Nine
682,1982,Play,The Life and Adventures of Nicholas Nickleby by David Edgar
683,1982,Regional Theatre Tony Award,The Guthrie Theatre
684,1982,Revival,Othello
685,1982,Scenic Designer,John Napier/Dermot Hayes
686,1982,Special Tony Award,The Actors' Fund of America
687,1983,Actor (Musical),Tommy Tune
688,1983,Actor (Play),Harvey Fierstein
689,1983,Actress (Musical),Natalia Makarova
690,1983,Actress (Play),Jessica Tandy
691,1983,Actor (Featured Role – Musical),Charles Honi Coles
692,1983,Actor (Featured Role – Play),Matthew Broderick
693,1983,Actress (Featured Role – Musical),Betty Buckley
694,1983,Actress (Featured Role – Play),Judith Ivey
695,1983,Book (Musical),Cats by T
696,1983,Choreographer,Tommy Tune/Thommie Walsh
697,1983,Costume Designer,John Napier
698,1983,Director (Musical),Trevor Nunn
699,1983,Director (Play),Gene Saks
700,1983,Lighting Designer,David Hersey
701,1983,Musical,Cats
702,1983,Original Musical Score,Cats
703,1983,Play,Torch Song Trilogy by Harvey Fierstein
704,1983,Regional Theatre Tony Award,Oregon Shakespeare Festival Association
705,1983,Revival,On Your Toes
706,1983,Scenic Designer,Ming Cho Lee
707,1984,Actor (Musical),George Hearn
708,1984,Actor (Play),Jeremy Irons
709,1984,Actress (Musical),Chita Rivera
710,1984,Actress (Play),Glenn Close
711,1984,Actor (Featured Role – Musical),Hinton Battle
712,1984,Actor (Featured Role – Play),Joe Mantegna
713,1984,Actress (Featured Role – Musical),Lila Kedrova
714,1984,Actress (Featured Role – Play),Christine Baranski
715,1984,Book (Musical),La Cage aux Folles by Harvey Fierstein
716,1984,Choreographer,Danny Daniels
717,1984,Costume Designer,Theoni V
718,1984,Director (Musical),Arthur Laurents
719,1984,Director (Play),Mike Nichols
720,1984,Lighting Designer,Richard Nelson
721,1984,Musical,La Cage aux Folles
722,1984,Original Musical Score,La Cage aux Folles
723,1984,Play,The Real Thing by Tom Stoppard
724,1984,Regional Theatre Tony Award,Old Globe Theatre
725,1984,Revival,Death of a Salesman
726,1984,Scenic Designer,Tony Straiges
727,1984,Special Tony Award,La Tragedie de Carmen
728,1985,Actor (Play),Derek Jacobi
729,1985,Actress (Play),Stockard Channing
730,1985,Actor (Featured Role – Musical),Ron Richardson
731,1985,Actor (Featured Role – Play),Barry Miller
732,1985,Actress (Featured Role – Musical),Leilani Jones
733,1985,Actress (Featured Role – Play),Judith Ivey
734,1985,Book (Musical),Big River by William Hauptman
735,1985,Costume Designer,Florence Klotz
736,1985,Director (Musical),Des McAnuff
737,1985,Director (Play),Gene Saks
738,1985,Lighting Designer,Richard Riddell
739,1985,Musical,Big River
740,1985,Original Musical Score,Big River
741,1985,Play,Biloxi Blues by Neil Simon
742,1985,Regional Theatre Tony Award,Steppenwolf Theater Company
743,1985,Revival,Joe Egg
744,1985,Scenic Designer,Heidi Landesman
745,1985,Special Tony Award,Yul Brynner
746,1986,Actor (Musical),George Rose
747,1986,Actor (Play),Judd Hirsch
748,1986,Actress (Musical),Bernadette Peters
749,1986,Actress (Play),Lily Tomlin
750,1986,Actor (Featured Role – Musical),Michael Rupert
751,1986,Actor (Featured Role – Play),John Mahoney
752,1986,Actress (Featured Role – Musical),Bebe Neuwirth
753,1986,Actress (Featured Role – Play),Swoosie Kurtz
754,1986,Book (Musical),The Mystery of Edwin Drood by Rupert Holmes
755,1986,Choreographer,Bob Fosse
756,1986,Costume Designer,Patricia Zipprodt
757,1986,Director (Musical),Wilford Leach
758,1986,Director (Play),Jerry Zaks
759,1986,Lighting Designer,Pat Collins
760,1986,Musical,The Mystery of Edwin Drood
761,1986,Original Musical Score,The Mystery of Edwin Drood
762,1986,Play,I'm Not Rappaport by Herb Gardner
763,1986,Regional Theatre Tony Award,American Repertory Theater
764,1986,Revival,Sweet Charity
765,1986,Scenic Designer,Tony Walton
766,1987,Actor (Musical),Robert Lindsay
767,1987,Actor (Play),James Earl Jones
768,1987,Actress (Musical),Maryann Plunkett
769,1987,Actress (Play),Linda Lavin
770,1987,Actor (Featured Role – Musical),Michael Maguire
771,1987,Actor (Featured Role – Play),John Randolph
772,1987,Actress (Featured Role – Musical),Frances Ruffelle
773,1987,Actress (Featured Role – Play),Mary Alice
774,1987,Book (Musical),Les Misérables by Alain Boublil and Claude-Michel Schönberg
775,1987,Choreographer,Gillian Gregory
776,1987,Costume Designer,John Napier
777,1987,Director (Musical),Trevor Nunn and John Caird
778,1987,Director (Play),Lloyd Richards
779,1987,Lighting Designer,David Hersey
780,1987,Musical,Les Misérables 
781,1987,Original Musical Score,Les Misérables
782,1987,Play,Fences by August Wilson
783,1987,Regional Theatre Tony Award,San Francisco Mime Troupe
784,1987,Revival,All My Sons
785,1987,Scenic Designer,John Napier
786,1987,Special Tony Award,George Abbott
787,1988,Actor (Musical),Michael Crawford
788,1988,Actor (Play),Ron Silver
789,1988,Actress (Musical),Joanna Gleason
790,1988,Actress (Play),Joan Allen
791,1988,Actor (Featured Role – Musical),Bill McCutcheon
792,1988,Actor (Featured Role – Play),B
793,1988,Actress (Featured Role – Musical),Judy Kaye
794,1988,Actress (Featured Role – Play),L
795,1988,Book (Musical),Into the Woods by James Lapine
796,1988,Choreographer,Michael Smuin
797,1988,Costume Designer,Maria Björnson
798,1988,Director (Musical),Harold Prince
799,1988,Director (Play),John Dexter
800,1988,Lighting Designer,Andrew Bridge
801,1988,Musical,The Phantom of the Opera
802,1988,Original Musical Score,Into the Woods
803,1988,Play,M
804,1988,Regional Theatre Tony Award,South Coast Repertory of Costa Mesa
805,1988,Revival,Anything Goes
806,1988,Scenic Designer,Maria Björnson
807,1988,Special Tony Award,Brooklyn Academy of Music
808,1989,Actor (Musical),Jason Alexander
809,1989,Actor (Play),Philip Bosco
810,1989,Actress (Musical),Ruth Brown
811,1989,Actress (Play),Pauline Collins
812,1989,Actor (Featured Role – Musical),Scott Wise
813,1989,Actor (Featured Role – Play),Boyd Gaines
814,1989,Actress (Featured Role – Musical),Debbie Shapiro
815,1989,Actress (Featured Role – Play),Christine Baranski
816,1989,Book (Musical),Category Eliminated
817,1989,Choreographer,Cholly Atkins
818,1989,Costume Designer,Claudio Segovio and Hector Orezzoli
819,1989,Director (Musical),Jerome Robbins
820,1989,Director (Play),Jerry Zaks
821,1989,Lighting Designer,Jennifer Tipton
822,1989,Musical,Jerome  Robbins' Broadway
823,1989,Original Musical Score,Category Eliminated
824,1989,Play,The Heidi Chronicles by Wendy Wasserstein
825,1989,Regional Theatre Tony Award,Hartford Stage Company
826,1989,Revival,Our Town
827,1989,Scenic Designer,Santo Loquasto
828,1990,Actor (Musical),James Naughton
829,1990,Actor (Play),Robert Morse
830,1990,Actress (Musical),Tyne Daly
831,1990,Actress (Play),Maggie Smith
832,1990,Actor (Featured Role – Musical),Michael Jeter
833,1990,Actor (Featured Role – Play),Charles Durning
834,1990,Actress (Featured Role – Musical),Randy Graff
835,1990,Actress (Featured Role – Play),Margaret Tyzack
836,1990,Book (Musical),City of Angels by Larry Gelbart
837,1990,Choreographer,Tommy Tune
838,1990,Costume Designer,Santo Loquasto
839,1990,Director (Musical),Tommy Tune
840,1990,Director (Play),Frank Galati
841,1990,Lighting Designer,Jules Fisher
842,1990,Musical,City of Angels
843,1990,Original Musical Score,City of Angels
844,1990,Play,The Grapes of Wrath by Frank Galati
845,1990,Regional Theatre Tony Award,Seattle Repertory Theatre
846,1990,Revival,Gypsy
847,1990,Scenic Designer,Robin Wagner
848,1990,Tony Honor,Alfred Drake
849,1991,Actor (Musical),Jonathan Pryce
850,1991,Actor (Play),Nigel Hawthorne
851,1991,Actress (Musical),Lea Salonga
852,1991,Actress (Play),Mercedes Ruehl
853,1991,Actor (Featured Role – Musical),Hinton Battle
854,1991,Actor (Featured Role – Play),Kevin Spacey
855,1991,Actress (Featured Role – Musical),Daisy Eagan
856,1991,Actress (Featured Role – Play),Irene Worth
857,1991,Book (Musical),The Secret Garden by Marsha Norman
858,1991,Choreographer,Tommy Tune
859,1991,Costume Designer,Willa Kim
860,1991,Director (Musical),Tommy Tune
861,1991,Director (Play),Jerry Zaks
862,1991,Lighting Designer,Jules Fisher
863,1991,Musical,The Will Rogers Follies
864,1991,Original Musical Score,The Will Rogers Follies
865,1991,Play,Lost in Yonkers by Neil Simon
866,1991,Regional Theatre Tony Award,Yale Repertory Theater
867,1991,Revival,Fiddler on the Roof
868,1991,Scenic Designer,Heidi Landesman
869,1991,Tony Honor,Father George Moore (Given Posthumously)
870,1992,Actor (Musical),Gregory Hines
871,1992,Actor (Play),Judd Hirsch
872,1992,Actress (Musical),Faith Prince
873,1992,Actress (Play),Glenn Close
874,1992,Actor (Featured Role – Musical),Scott Waara
875,1992,Actor (Featured Role – Play),Larry Fishburne
876,1992,Actress (Featured Role – Musical),Tonya Pinkins
877,1992,Actress (Featured Role – Play),Brid Brennan
878,1992,Book (Musical),Falsettos by William Finn and James Lapine
879,1992,Choreographer,Susan Stroman
880,1992,Costume Designer,William Ivey Long
881,1992,Director (Musical),Jerry Zaks
882,1992,Director (Play),Patrick Mason
883,1992,Lighting Designer,Jules Fisher
884,1992,Musical,Crazy for You
885,1992,Original Musical Score,Falsettos
886,1992,Play,Dancing at Lughnasa by Brian Friel
887,1992,Regional Theatre Tony Award,The Goodman Theatre of Chicago
888,1992,Revival,Guys and Dolls
889,1992,Scenic Designer,Tony Walton
890,1992,Tony Honor,The Fantasticks
891,1993,Actor (Musical),Brent Carver
892,1993,Actor (Play),Ron Leibman
893,1993,Actress (Musical),Chita Rivera
894,1993,Actress (Play),Madeline Kahn
895,1993,Actor (Featured Role – Musical),Anthony Crivello
896,1993,Actor (Featured Role – Play),Stephen Spinella
897,1993,Actress (Featured Role – Musical),Andrea Martin
898,1993,Actress (Featured Role – Play),Debra Monk
899,1993,Book (Musical),Kiss of the Spider Woman--The Musical by Terrence McNally
900,1993,Choreographer,Wayne Cilento
901,1993,Costume Designer,Florence Klotz
902,1993,Director (Musical),Des McAnuff
903,1993,Director (Play),George C
904,1993,Lighting Designer,Chris Parry
905,1993,Musical,Kiss of the Spider Woman--The Musical
906,1993,Original Musical Score,Kiss of the Spider Woman--The Musical
907,1993,Play,The Who's Tommy
908,1993,Regional Theatre Tony Award,Angels in America: Millennium Approaches by Tony Kushner
909,1993,Revival,La Jolla Playhouse
910,1993,Scenic Designer,Anna Christie
911,1993,Special Tony Award,John Arnone
912,1993,Tony Honor,Oklahoma!--50th Anniversary
913,1994,Actor (Musical),Boyd Gaines
914,1994,Actor (Play),Stephen Spinella
915,1994,Actress (Musical),Donna Murphy
916,1994,Actress (Play),Diana Rigg
917,1994,Actor (Featured Role – Musical),Jarrod Emick
918,1994,Actor (Featured Role – Play),Jeffrey Wright
919,1994,Actress (Featured Role – Musical),Audra Ann McDonald (Audra McDonald)
920,1994,Actress (Featured Role – Play),Jane Adams
921,1994,Book (Musical),Passion by James Lapine
922,1994,Choreographer,Sir Kenneth MacMillan
923,1994,Costume Designer,Ann Hould-Ward
924,1994,Director (Musical),Nicholas Hytner
925,1994,Director (Play),Stephen Daldry
926,1994,Lighting Designer,Rick Fisher
927,1994,Musical,Passion
928,1994,Original Musical Score,Passion
929,1994,Play,Angels in America: Perestroika by Tony Kushner
930,1994,Regional Theatre Tony Award,McCarter Theatre
931,1994,Revival (Musical),Carousel
932,1994,Revival (Play),An Inspector Calls
933,1994,Scenic Designer,Bob Crowley
934,1994,Special Tony Award for Lifetime Achievement in the Theatre,Jessica Tandy and Hume Cronyn
935,1995,Actor (Musical),Matthew Broderick
936,1995,Actor (Play),Ralph Fiennes
937,1995,Actress (Musical),Glenn Close
938,1995,Actress (Play),Cherry Jones
939,1995,Actor (Featured Role – Musical),George Hearn
940,1995,Actor (Featured Role – Play),John Glover
941,1995,Actress (Featured Role – Musical),Gretha Boston
942,1995,Actress (Featured Role – Play),Frances Sternhagen
943,1995,Book (Musical),Sunset Boulevard by Don Black and Christopher Hampton
944,1995,Choreographer,Susan Stroman
945,1995,Costume Designer,Florence Klotz
946,1995,Director (Musical),Harold Prince
947,1995,Director (Play),Gerald Gutierrez
948,1995,Lighting Designer,Andrew Bridge
949,1995,Musical,Sunset Boulevard
950,1995,Original Musical Score,Sunset Boulevard
951,1995,Play,Love! Valour! Compassion! By Terrence McNally
952,1995,Regional Theatre Tony Award,Goodspeed Opera House
953,1995,Revival (Musical),Show Boat
954,1995,Revival (Play),The Heiress
955,1995,Scenic Designer,John Napier
956,1995,Special Tony Award for Lifetime Achievement in the Theatre,Carol Channing
957,1995,Tony Honor,Harvey Sabinson
958,1996,Actor (Musical),Nathan Lane
959,1996,Actor (Play),George Grizzard
960,1996,Actress (Musical),Donna Murphy
961,1996,Actress (Play),Zoe Caldwell
962,1996,Actor (Featured Role – Musical),Wilson Jermaine Heredia
963,1996,Actor (Featured Role – Play),Ruben Santiago-Hudson
964,1996,Actress (Featured Role – Musical),Ann Duquesnay
965,1996,Actress (Featured Role – Play),Audra McDonald
966,1996,Book (Musical),Jonathan Larson
967,1996,Choreographer,Savion Glover
968,1996,Costume Designer,Roger Kirk
969,1996,Director (Musical),George C
970,1996,Director (Play),Gerald Gutierrez
971,1996,Lighting Designer,Jules Fisher and Peggy Eisenhauer
972,1996,Musical,Rent
973,1996,Original Musical Score,Rent; Music and Lyrics by Jonathan Larson
974,1996,Play,Master Class by Terrence McNally
975,1996,Regional Theatre Tony Award,Alley Theatre of Houston
976,1996,Revival (Musical),The King and I
977,1996,Revival (Play),A Delicate Balance
978,1996,Scenic Designer,Brian Thomson
979,1997,Actor (Musical),James Naughton
980,1997,Actor (Play),Christopher Plummer
981,1997,Actress (Musical),Bebe Neuwirth
982,1997,Actress (Play),Janet McTeer
983,1997,Actor (Featured Role – Musical),Chuck Cooper
984,1997,Actor (Featured Role – Play),Owen Teale
985,1997,Actress (Featured Role – Musical),Lillias White
986,1997,Actress (Featured Role – Play),Lynne Thigpen
987,1997,Book (Musical),Peter Stone
988,1997,Choreographer,Ann Reinking
989,1997,Costume Designer,Judith Dolan
990,1997,Director (Musical),Walter Bobbie
991,1997,Director (Play),Anthony Page
992,1997,Lighting Designer,Ken Billington
993,1997,Musical,Titanic
994,1997,Orchestrations,Jonathan Tunick
995,1997,Original Musical Score,Titanic
996,1997,Play,The Last Night of Ballyhoo by Alfred Uhry
997,1997,Regional Theatre Tony Award,Berkeley Repertory Theatre
998,1997,Revival (Musical),Chicago
999,1997,Revival (Play),A Doll's House
1000,1997,Scenic Designer,Stewart Laing
1001,1997,Special Tony Award for Lifetime Achievement in the Theatre,Bernard B
1002,1998,Actor (Musical),Alan Cumming
1003,1998,Actor (Play),Anthony LaPaglia
1004,1998,Actress (Musical),Natasha Richardson
1005,1998,Actress (Play),Marie Mullen
1006,1998,Actor (Featured Role – Musical),Ron Rifkin
1007,1998,Actor (Featured Role – Play),Tom Murphy
1008,1998,Actress (Featured Role – Musical),Audra McDonald
1009,1998,Actress (Featured Role – Play),Anna Manahan
1010,1998,Book (Musical),Terrence McNally
1011,1998,Choreographer,Garth Fagan
1012,1998,Costume Designer,Julie Taymor
1013,1998,Director (Musical),Julie Taymor
1014,1998,Director (Play),Garry Hynes
1015,1998,Lighting Designer,Donald Holder
1016,1998,Musical,The Lion King
1017,1998,Orchestrations,William David Brohn
1018,1998,Original Musical Score,Ragtime
1019,1998,Play,Art by Yasmina Reza
1020,1998,Regional Theatre Tony Award,Denver Center Theatre Company
1021,1998,Revival (Musical),Cabaret
1022,1998,Revival (Play),A View From the Bridge
1023,1998,Scenic Designer,Richard Hudson
1024,1998,Special Tony Award,Ben Edwards
1025,1998,Tony Honor,Edward E
1026,1999,Actor (Musical),Martin Short
1027,1999,Actor (Play),Brian Dennehy
1028,1999,Actress (Musical),Bernadette Peters
1029,1999,Actress (Play),Judi Dench
1030,1999,Actor (Featured Role – Musical),Roger Bart
1031,1999,Actor (Featured Role – Play),Frank Wood
1032,1999,Actress (Featured Role – Musical),Kristin Chenoweth
1033,1999,Actress (Featured Role – Play),Elizabeth Franz
1034,1999,Book (Musical),Alfred Uhry
1035,1999,Choreographer,Matthew Bourne
1036,1999,Costume Designer,Lez Brotherston
1037,1999,Director (Musical),Matthew Bourne
1038,1999,Director (Play),Robert Falls
1039,1999,Lighting Designer,Andrew Bridge
1040,1999,Musical,Fosse
1041,1999,Orchestrations,Ralph Burns and Douglas Besterman
1042,1999,Original Musical Score,Parade
1043,1999,Play,Side Man by Warren Leight
1044,1999,Regional Theatre Tony Award,Crossroads Theatre Company
1045,1999,Revival (Musical),Annie Get Your Gun
1046,1999,Revival (Play),Death of a Salesman
1047,1999,Scenic Designer,Richard Hoover
1048,1999,Special Tony Award,Fool Moon
1049,1999,Special Tony Award for Lifetime Achievement in the Theatre,Uta Hagen
1050,2000,Actor (Musical),Brian Stokes Mitchell
1051,2000,Actor (Play),Stephen Dillane
1052,2000,Actress (Musical),Heather Headley
1053,2000,Actress (Play),Jennifer Ehle
1054,2000,Actor (Featured Role – Musical),Boyd Gaines
1055,2000,Actor (Featured Role – Play),Roy Dotrice
1056,2000,Actress (Featured Role – Musical),Karen Ziemba
1057,2000,Actress (Featured Role – Play),Blair Brown
1058,2000,Book (Musical),Richard Nelson
1059,2000,Choreographer,Susan Stroman
1060,2000,Costume Designer,Martin Pakledinaz
1061,2000,Director (Musical),Michael Blakemore
1062,2000,Director (Play),Michael Blakemore
1063,2000,Lighting Designer,Natasha Katz
1064,2000,Musical,Contact
1065,2000,Orchestrations,Don Sebesky
1066,2000,Original Musical Score,Aida<br/>Music by Elton John<br/>Lyrics by Tim Rice
1067,2000,Play,Copenhagen by Michael Frayn
1068,2000,Regional Theatre Tony Award,The Utah Shakespearean Festival
1069,2000,Revival (Musical),Kiss Me
1070,2000,Revival (Play),The Real Thing
1071,2000,Scenic Designer,Bob Crowley
1072,2000,Special Tony Award,Dame Edna: The Royal Tour
1073,2000,Special Tony Award for Lifetime Achievement in the Theatre,T
1074,2000,Tony Honor,Eileen Heckart
1075,2001,Actor (Musical),Nathan Lane
1076,2001,Actor (Play),Richard Easton
1077,2001,Actress (Musical),Christine Ebersole
1078,2001,Actress (Play),Mary-Louise Parker
1079,2001,Actor (Featured Role – Musical),Gary Beach
1080,2001,Actor (Featured Role – Play),Robert Sean Leonard
1081,2001,Actress (Featured Role – Musical),Cady Huffman
1082,2001,Actress (Featured Role – Play),Viola Davis
1083,2001,Book (Musical),Mel Brooks and Thomas Meehan
1084,2001,Choreographer,Susan Stroman
1085,2001,Costume Designer,William Ivey Long
1086,2001,Director (Musical),Susan Stroman
1087,2001,Director (Play),Daniel Sullivan
1088,2001,Lighting Designer,Peter Kaczorowski
1089,2001,Musical,The Producers
1090,2001,Orchestrations,Doug Besterman
1091,2001,Original Musical Score,The Producers
1092,2001,Play,Proof by David Auburn
1093,2001,Regional Theatre Tony Award,Victory Gardens Theater
1094,2001,Revival (Musical),42nd Street Producers: Dodger Theatricals
1095,2001,Revival (Play),One Flew Over the Cuckoo's Nest Producer: Michael Leavitt
1096,2001,Scenic Designer,Robin Wagner
1097,2001,Special Theatrical Event,Blast! Produced by Cook Group Inc
1098,2001,Special Tony Award for Lifetime Achievement in the Theatre,Paul Gemignani
1099,2001,Tony Honor,Betty Corwin and the Theatre on Film and Tape Archive of the New York Public Library for the Performing Arts
1100,2002,Actor (Musical),John Lithgow
1101,2002,Actor (Play),Alan Bates
1102,2002,Actress (Musical),Sutton Foster
1103,2002,Actress (Play),Lindsay Duncan
1104,2002,Actor (Featured Role – Musical),Shuler Hensley
1105,2002,Actor (Featured Role – Play),Frank Langella
1106,2002,Actress (Featured Role – Musical),Harriet Harris
1107,2002,Actress (Featured Role – Play),Katie Finneran
1108,2002,Book (Musical),Greg Kotis
1109,2002,Choreographer,Rob Ashford
1110,2002,Costume Designer,Martin Pakledinaz
1111,2002,Director (Musical),John Rando
1112,2002,Director (Play),Mary Zimmerman
1113,2002,Lighting Designer,Brian MacDevitt
1114,2002,Musical,Thoroughly Modern Millie
1115,2002,Orchestrations,Doug Besterman &amp; Ralph Burns
1116,2002,Original Musical Score,Urinetown The Musical<br/>Music:  Mark Hollmann<br/>Lyrics: Mark Hollmann &amp; Greg Kotis
1117,2002,Play,Edward Albee's The Goat or Who Is Sylvia? by Edward Albee
1118,2002,Regional Theatre Tony Award,Williamstown Theatre Festival
1119,2002,Revival (Musical),Into the Woods
1120,2002,Revival (Play),Private Lives
1121,2002,Scenic Designer,Tim Hatley
1122,2002,Special Theatrical Event,Elaine Stritch at Liberty
1123,2002,Special Tony Award for Lifetime Achievement in the Theatre,Robert Whitehead
1124,2003,Actor (Musical),Harvey Fierstein
1125,2003,Actor (Play),Brian Dennehy
1126,2003,Actress (Musical),Marissa Jaret Winokur
1127,2003,Actress (Play),Vanessa Redgrave
1128,2003,Actor (Featured Role – Musical),Dick Latessa
1129,2003,Actor (Featured Role – Play),Denis O'Hare
1130,2003,Actress (Featured Role – Musical),Jane Krakowski
1131,2003,Actress (Featured Role – Play),Michele Pawk
1132,2003,Book (Musical),Mark O'Donnell &amp; Thomas Meehan
1133,2003,Choreographer,Twyla Tharp
1134,2003,Costume Designer,William Ivey Long
1135,2003,Director (Musical),Jack O'Brien
1136,2003,Director (Play),Joe Mantello
1137,2003,Lighting Designer,Nigel Levings
1138,2003,Musical,Hairspray
1139,2003,Orchestrations,Billy Joel &amp; Stuart Malina
1140,2003,Original Musical Score,Hairspray<br/>Music:  Marc Shaiman<br/>Lyrics:  Scott Wittman and Marc Shaiman
1141,2003,Play,Take Me Out by Richard Greenberg
1142,2003,Regional Theatre Tony Award,The Children's Theatre Company
1143,2003,Revival (Musical),Nine The Musical
1144,2003,Revival (Play),Long Day's Journey into Night
1145,2003,Scenic Designer,Catherine Martin
1146,2003,Special Theatrical Event,Russell Simmons' Def Poetry Jam on Broadway
1147,2003,Special Tony Award for Lifetime Achievement in the Theatre,Cy Feuer
1148,2003,Tony Honor,The principal ensemble of La Bohème
1149,2004,Actor (Musical),Hugh Jackman
1150,2004,Actor (Play),Jefferson Mays
1151,2004,Actress (Musical),Idina Menzel
1152,2004,Actress (Play),Phylicia Rashad
1153,2004,Actor (Featured Role – Musical),Michael Cerveris
1154,2004,Actor (Featured Role – Play),Brían F
1155,2004,Actress (Featured Role – Musical),Anika Noni Rose
1156,2004,Actress (Featured Role – Play),Audra McDonald
1157,2004,Book (Musical),Jeff Whitty
1158,2004,Choreographer,Kathleen Marshall
1159,2004,Costume Designer,Susan Hilferty
1160,2004,Director (Musical),Joe Mantello
1161,2004,Director (Play),Jack O'Brien
1162,2004,Lighting Designer,Jules Fisher and Peggy Eisenhauer
1163,2004,Musical,Avenue Q
1164,2004,Orchestrations,Michael Starobin
1165,2004,Original Musical Score,Avenue Q<br/>Music &amp; Lyrics: Robert Lopez and Jeff Marx
1166,2004,Play,I Am My Own Wife
1167,2004,Regional Theatre Tony Award,Cincinnati Playhouse in the Park
1168,2004,Revival (Musical),Assassins
1169,2004,Revival (Play),Henry IV
1170,2004,Scenic Designer,Eugene Lee
1171,2004,Special Tony Award for Lifetime Achievement in the Theatre,James M
1172,2004,Tony Honor,The cast of the 2003 Broadway production of <i>Big River</i>
1173,2005,Actor (Musical),Norbert Leo Butz
1174,2005,Actor (Play),Bill Irwin
1175,2005,Actress (Musical),Victoria Clark
1176,2005,Actress (Play),Cherry Jones
1177,2005,Actor (Featured Role – Musical),Dan Fogler
1178,2005,Actor (Featured Role – Play),Liev Schreiber
1179,2005,Actress (Featured Role – Musical),Sara Ramirez
1180,2005,Actress (Featured Role – Play),Adriane Lenox
1181,2005,Book (Musical),Rachel Sheinkin
1182,2005,Choreographer,Jerry Mitchell
1183,2005,Costume Design (Musical),Catherine Zuber
1184,2005,Costume Design (Play),Jess Goldstein
1185,2005,Director (Musical),Mike Nichols
1186,2005,Director (Play),Doug Hughes
1187,2005,Lighting Design (Musical),Christopher Akerlind
1188,2005,Lighting Design (Play),Brian MacDevitt
1189,2005,Musical,Monty Python's Spamalot
1190,2005,Orchestrations,Ted Sperling
1191,2005,Original Musical Score,The Light in the Piazza<br/>Music &amp; Lyrics: Adam Guettel
1192,2005,Play,Doubt
1193,2005,Regional Theatre Tony Award,Theatre de la Jeune Lune
1194,2005,Revival (Musical),La Cage aux Folles
1195,2005,Revival (Play),Glengarry Glen Ross
1196,2005,Scenic Design (Musical),Michael Yeargan
1197,2005,Scenic Design (Play),Scott Pask
1198,2005,Special Theatrical Event,Billy Crystal 700 Sundays
1199,2005,Special Tony Award for Lifetime Achievement in the Theatre,Edward Albee
1200,2005,Tony Honor,Peter Neufeld
1201,2006,Actor (Musical),John Lloyd Young
1202,2006,Actor (Play),Richard Griffiths
1203,2006,Actress (Musical),LaChanze
1204,2006,Actress (Play),Cynthia Nixon
1205,2006,Actor (Featured Role – Musical),Christian Hoff
1206,2006,Actor (Featured Role – Play),Ian McDiarmid
1207,2006,Actress (Featured Role – Musical),Beth Leavel
