,year_film,year_ceremony,ceremony,category,name,film,winner
1819,1945,1946,18,ACTRESS,Greer Garson,The Valley of Decision,False
1820,1945,1946,18,ACTRESS,Jennifer Jones,Love Letters,False
1821,1945,1946,18,ACTRESS,Gene Tierney,Leave Her to Heaven,False
1822,1945,1946,18,SUPPORTING ACTRESS,Eve Arden,Mildred Pierce,False
1823,1945,1946,18,SUPPORTING ACTRESS,Ann Blyth,Mildred Pierce,False
1824,1945,1946,18,SUPPORTING ACTRESS,Angela Lansbury,The Picture of Dorian Gray,False
1825,1945,1946,18,SUPPORTING ACTRESS,Joan Lorring,The Corn Is Green,False
1826,1945,1946,18,SUPPORTING ACTRESS,Anne Revere,National Velvet,True
1847,1945,1946,18,DIRECTING,Leo McCarey,The Bells of St. Mary's,False
1848,1945,1946,18,DIRECTING,Billy Wilder,The Lost Weekend,True
1849,1945,1946,18,DIRECTING,Clarence Brown,National Velvet,False
1850,1945,1946,18,DIRECTING,Jean Renoir,The Southerner,False
1851,1945,1946,18,DIRECTING,Alfred Hitchcock,Spellbound,False
1862,1945,1946,18,MUSIC,Robert Emmett Dolan,The Bells of St. Mary's,False
1863,1945,1946,18,MUSIC,Lou Forbes,Brewster's Millions,False
1864,1945,1946,18,MUSIC,Werner Janssen,Captain Kidd,False
1865,1945,1946,18,MUSIC,Roy Webb,The Enchanted Cottage,False
1866,1945,1946,18,MUSIC,"Morton Scott, Dale Butts",Flame of Barbary Coast,False
1867,1945,1946,18,MUSIC,Edward J. Kay,G. I. Honeymoon,False
1868,1945,1946,18,MUSIC,"Louis Applebaum, Ann Ronell",G. I. Joe,False
1869,1945,1946,18,MUSIC,Werner Janssen,Guest in the House,False
1870,1945,1946,18,MUSIC,Daniele Amfitheatrof,Guest Wife,False
1871,1945,1946,18,MUSIC,Alfred Newman,The Keys of the Kingdom,False
1872,1945,1946,18,MUSIC,Miklos Rozsa,The Lost Weekend,False
1873,1945,1946,18,MUSIC,Victor Young,Love Letters,False
1874,1945,1946,18,MUSIC,Karl Hajos,The Man Who Walked Alone,False
1875,1945,1946,18,MUSIC,Franz Waxman,"Objective, Burma!",False
1876,1945,1946,18,MUSIC,Alexander Tansman,Paris--Underground,False
1877,1945,1946,18,MUSIC,"Miklos Rozsa, Morris Stoloff",A Song to Remember,False
1878,1945,1946,18,MUSIC,Werner Janssen,The Southerner,False
1879,1945,1946,18,MUSIC,Miklos Rozsa,Spellbound,True
1880,1945,1946,18,MUSIC,H. J. Salter,This Love of Ours,False
1881,1945,1946,18,MUSIC,Herbert Stothart,The Valley of Decision,False
1882,1945,1946,18,MUSIC,"Arthur Lange, Hugo Friedhofer",The Woman in the Window,False
1883,1945,1946,18,MUSIC,Georgie Stoll,Anchors Aweigh,True
1884,1945,1946,18,MUSIC,Arthur Lange,Belle of the Yukon,False
1885,1945,1946,18,MUSIC,"Jerome Kern, H. J. Salter",Can't Help Singing,False
1886,1945,1946,18,MUSIC,Morton Scott,Hitchhike to Happiness,False
1887,1945,1946,18,MUSIC,Robert Emmett Dolan,Incendiary Blonde,False
1888,1945,1946,18,MUSIC,"Ray Heindorf, Max Steiner",Rhapsody in Blue,False
1889,1945,1946,18,MUSIC,"Alfred Newman, Charles Henderson",State Fair,False
1890,1945,1946,18,MUSIC,Edward J. Kay,Sunbonnet Sue,False
1891,1945,1946,18,MUSIC,"Charles Wolcott, Edward Plumb, Paul J. Smith",The Three Caballeros,False
1892,1945,1946,18,MUSIC,"Marlin Skiles, Morris Stoloff",Tonight and Every Night,False
1893,1945,1946,18,MUSIC,Walter Greene,Why Girls Leave Home,False
1894,1945,1946,18,MUSIC,"Ray Heindorf, Lou Forbes",Wonder Man,False
1895,1945,1946,18,MUSIC,Music by Harold Arlen; Lyrics by Johnny Mercer,Here Come the Waves,False
1896,1945,1946,18,MUSIC,Music by Jule Styne; Lyrics by Sammy Cahn,Tonight and Every Night,False
1897,1945,1946,18,MUSIC,Music by James Van Heusen; Lyrics by Johnny Burke,The Bells of St. Mary's,False
1898,1945,1946,18,MUSIC,Music by Jay Livingston; Lyrics by Ray Evans,Why Girls Leave Home,False
1899,1945,1946,18,MUSIC,Music by Walter Kent; Lyrics by Kim Gannon,Earl Carroll Vanities,False
1900,1945,1946,18,MUSIC,Music by Jule Styne; Lyrics by Sammy Cahn,Anchors Aweigh,False
1901,1945,1946,18,MUSIC,Music by Allie Wrubel; Lyrics by Herb Magidson,Sing Your Way Home,False
1902,1945,1946,18,MUSIC,Music by Richard Rodgers; Lyrics by Oscar Hammerstein II,State Fair,True
1903,1945,1946,18,MUSIC,Music and Lyrics by Ann Ronell,G. I. Joe,False
1904,1945,1946,18,MUSIC,Music by Victor Young; Lyrics by Eddie Heyman,Love Letters,False
1905,1945,1946,18,MUSIC,Music by Jerome Kern; Lyrics by E. Y. Harburg,Can't Help Singing,False
1906,1945,1946,18,MUSIC,Music by James Van Heusen; Lyrics by Johnny Burke,Belle of the Yukon,False
1907,1945,1946,18,MUSIC,Music by David Rose; Lyrics by Leo Robin,Wonder Man,False
1908,1945,1946,18,MUSIC,Music by Ray Heindorf and M. K. Jerome; Lyrics by Ted Koehler,San Antonio,False
1909,1945,1946,18,BEST PICTURE,Metro-Goldwyn-Mayer,Anchors Aweigh,False
1910,1945,1946,18,BEST PICTURE,Rainbow Productions,The Bells of St. Mary's,False
1911,1945,1946,18,BEST PICTURE,Paramount,The Lost Weekend,True
1912,1945,1946,18,BEST PICTURE,Warner Bros.,Mildred Pierce,False
1913,1945,1946,18,BEST PICTURE,Selznick International Pictures,Spellbound,False
1967,1946,1947,19,ACTOR,Fredric March,The Best Years of Our Lives,True
1968,1946,1947,19,ACTOR,Laurence Olivier,Henry V,False
1969,1946,1947,19,ACTOR,Larry Parks,The Jolson Story,False
1970,1946,1947,19,ACTOR,Gregory Peck,The Yearling,False
1971,1946,1947,19,ACTOR,James Stewart,It's a Wonderful Life,False
1972,1946,1947,19,SUPPORTING ACTOR,Charles Coburn,The Green Years,False
1973,1946,1947,19,SUPPORTING ACTOR,William Demarest,The Jolson Story,False
1974,1946,1947,19,SUPPORTING ACTOR,Claude Rains,Notorious,False
1975,1946,1947,19,SUPPORTING ACTOR,Harold Russell,The Best Years of Our Lives,True
1976,1946,1947,19,SUPPORTING ACTOR,Clifton Webb,The Razor's Edge,False
1977,1946,1947,19,ACTRESS,Olivia de Havilland,To Each His Own,True
1978,1946,1947,19,ACTRESS,Celia Johnson,Brief Encounter,False
1979,1946,1947,19,ACTRESS,Jennifer Jones,Duel in the Sun,False
1980,1946,1947,19,ACTRESS,Rosalind Russell,Sister Kenny,False
1981,1946,1947,19,ACTRESS,Jane Wyman,The Yearling,False
1982,1946,1947,19,SUPPORTING ACTRESS,Ethel Barrymore,The Spiral Staircase,False
1983,1946,1947,19,SUPPORTING ACTRESS,Anne Baxter,The Razor's Edge,True
1984,1946,1947,19,SUPPORTING ACTRESS,Lillian Gish,Duel in the Sun,False
1985,1946,1947,19,SUPPORTING ACTRESS,Flora Robson,Saratoga Trunk,False
1986,1946,1947,19,SUPPORTING ACTRESS,Gale Sondergaard,Anna and the King of Siam,False
1997,1946,1947,19,DIRECTING,William Wyler,The Best Years of Our Lives,True
1998,1946,1947,19,DIRECTING,David Lean,Brief Encounter,False
1999,1946,1947,19,DIRECTING,Frank Capra,It's a Wonderful Life,False
2000,1946,1947,19,DIRECTING,Robert Siodmak,The Killers,False
2001,1946,1947,19,DIRECTING,Clarence Brown,The Yearling,False
2012,1946,1947,19,MUSIC,Bernard Herrmann,Anna and the King of Siam,False
2013,1946,1947,19,MUSIC,Hugo Friedhofer,The Best Years of Our Lives,True
2014,1946,1947,19,MUSIC,William Walton,Henry V,False
2015,1946,1947,19,MUSIC,Franz Waxman,Humoresque,False
2016,1946,1947,19,MUSIC,Miklos Rozsa,The Killers,False
2017,1946,1947,19,MUSIC,Robert Emmett Dolan,Blue Skies,False
2018,1946,1947,19,MUSIC,Alfred Newman,Centennial Summer,False
2019,1946,1947,19,MUSIC,Lennie Hayton,The Harvey Girls,False
2020,1946,1947,19,MUSIC,Morris Stoloff,The Jolson Story,True
2021,1946,1947,19,MUSIC,"Ray Heindorf, Max Steiner",Night and Day,False
2022,1946,1947,19,MUSIC,Music by Jerome Kern; Lyrics by Oscar Hammerstein II,Centennial Summer,False
2023,1946,1947,19,MUSIC,Music by James Monaco; Lyrics by Mack Gordon,The Dolly Sisters,False
2024,1946,1947,19,MUSIC,Music by Hoagy Carmichael; Lyrics by Jack Brooks,Canyon Passage,False
2025,1946,1947,19,MUSIC,Music by Harry Warren; Lyrics by Johnny Mercer,The Harvey Girls,True
2026,1946,1947,19,MUSIC,Music and Lyrics by Irving Berlin,Blue Skies,False
2027,1946,1947,19,BEST PICTURE,Samuel Goldwyn Productions,The Best Years of Our Lives,True
2028,1946,1947,19,BEST PICTURE,J. Arthur Rank-Two Cities Films,Henry V,False
2029,1946,1947,19,BEST PICTURE,Liberty Films,It's a Wonderful Life,False
2030,1946,1947,19,BEST PICTURE,20th Century-Fox,The Razor's Edge,False
2031,1946,1947,19,BEST PICTURE,Metro-Goldwyn-Mayer,The Yearling,False
2071,1947,1948,20,ACTOR,Ronald Colman,A Double Life,True
2072,1947,1948,20,ACTOR,John Garfield,Body and Soul,False
2073,1947,1948,20,ACTOR,Gregory Peck,Gentleman's Agreement,False
2074,1947,1948,20,ACTOR,William Powell,Life with Father,False
2075,1947,1948,20,ACTOR,Michael Redgrave,Mourning Becomes Electra,False
2076,1947,1948,20,SUPPORTING ACTOR,Charles Bickford,The Farmer's Daughter,False
2077,1947,1948,20,SUPPORTING ACTOR,Thomas Gomez,Ride the Pink Horse,False
2078,1947,1948,20,SUPPORTING ACTOR,Edmund Gwenn,Miracle on 34th Street,True
2079,1947,1948,20,SUPPORTING ACTOR,Robert Ryan,Crossfire,False
2080,1947,1948,20,SUPPORTING ACTOR,Richard Widmark,Kiss of Death,False
2081,1947,1948,20,ACTRESS,Joan Crawford,Possessed,False
2082,1947,1948,20,ACTRESS,Susan Hayward,Smash-Up--The Story of a Woman,False
2083,1947,1948,20,ACTRESS,Dorothy McGuire,Gentleman's Agreement,False
2084,1947,1948,20,ACTRESS,Rosalind Russell,Mourning Becomes Electra,False
2085,1947,1948,20,ACTRESS,Loretta Young,The Farmer's Daughter,True
2086,1947,1948,20,SUPPORTING ACTRESS,Ethel Barrymore,The Paradine Case,False
2087,1947,1948,20,SUPPORTING ACTRESS,Gloria Grahame,Crossfire,False
2088,1947,1948,20,SUPPORTING ACTRESS,Celeste Holm,Gentleman's Agreement,True
2089,1947,1948,20,SUPPORTING ACTRESS,Marjorie Main,The Egg and I,False
2090,1947,1948,20,SUPPORTING ACTRESS,Anne Revere,Gentleman's Agreement,False
2101,1947,1948,20,DIRECTING,Henry Koster,The Bishop's Wife,False
2102,1947,1948,20,DIRECTING,Edward Dmytryk,Crossfire,False
2103,1947,1948,20,DIRECTING,George Cukor,A Double Life,False
2104,1947,1948,20,DIRECTING,Elia Kazan,Gentleman's Agreement,True
2105,1947,1948,20,DIRECTING,David Lean,Great Expectations,False
2117,1947,1948,20,MUSIC,Hugo Friedhofer,The Bishop's Wife,False
2118,1947,1948,20,MUSIC,Alfred Newman,Captain from Castile,False
2119,1947,1948,20,MUSIC,Dr. Miklos Rozsa,A Double Life,True
2120,1947,1948,20,MUSIC,David Raksin,Forever Amber,False
2121,1947,1948,20,MUSIC,Max Steiner,Life with Father,False
2122,1947,1948,20,MUSIC,Johnny Green,Fiesta,False
2123,1947,1948,20,MUSIC,Alfred Newman,Mother Wore Tights,True
2124,1947,1948,20,MUSIC,"Ray Heindorf, Max Steiner",My Wild Irish Rose,False
2125,1947,1948,20,MUSIC,Robert Emmett Dolan,Road to Rio,False
2126,1947,1948,20,MUSIC,"Daniele Amfitheatrof, Paul J. Smith, Charles Wolcott",Song of the South,False
2127,1947,1948,20,MUSIC,Music by Arthur Schwartz; Lyrics by Leo Robin,"The Time, the Place and the Girl",False
2128,1947,1948,20,MUSIC,Music and Lyrics by Frank Loesser,The Perils of Pauline,False
2129,1947,1948,20,MUSIC,"Music and Lyrics by Ralph Blane, Roger Edens and Hugh Martin",Good News,False
2130,1947,1948,20,MUSIC,Music by Josef Myrow; Lyrics by Mack Gordon,Mother Wore Tights,False
2131,1947,1948,20,MUSIC,Music by Allie Wrubel; Lyrics by Ray Gilbert,Song of the South,True
2132,1947,1948,20,BEST PICTURE,Samuel Goldwyn Productions,The Bishop's Wife,False
2133,1947,1948,20,BEST PICTURE,RKO Radio,Crossfire,False
2134,1947,1948,20,BEST PICTURE,20th Century-Fox,Gentleman's Agreement,True
2135,1947,1948,20,BEST PICTURE,J. Arthur Rank-Cineguild,Great Expectations,False
2136,1947,1948,20,BEST PICTURE,20th Century-Fox,Miracle on 34th Street,False
2176,1948,1949,21,ACTOR,Lew Ayres,Johnny Belinda,False
2177,1948,1949,21,ACTOR,Montgomery Clift,The Search,False
2178,1948,1949,21,ACTOR,Dan Dailey,When My Baby Smiles at Me,False
2179,1948,1949,21,ACTOR,Laurence Olivier,Hamlet,True
2180,1948,1949,21,ACTOR,Clifton Webb,Sitting Pretty,False
2181,1948,1949,21,SUPPORTING ACTOR,Charles Bickford,Johnny Belinda,False
2182,1948,1949,21,SUPPORTING ACTOR,José Ferrer,Joan of Arc,False
2183,1948,1949,21,SUPPORTING ACTOR,Oscar Homolka,I Remember Mama,False
2184,1948,1949,21,SUPPORTING ACTOR,Walter Huston,The Treasure of the Sierra Madre,True
2185,1948,1949,21,SUPPORTING ACTOR,Cecil Kellaway,The Luck of the Irish,False
2186,1948,1949,21,ACTRESS,Ingrid Bergman,Joan of Arc,False
2187,1948,1949,21,ACTRESS,Olivia de Havilland,The Snake Pit,False
2188,1948,1949,21,ACTRESS,Irene Dunne,I Remember Mama,False
2189,1948,1949,21,ACTRESS,Barbara Stanwyck,"Sorry, Wrong Number",False
2190,1948,1949,21,ACTRESS,Jane Wyman,Johnny Belinda,True
2191,1948,1949,21,SUPPORTING ACTRESS,Barbara Bel Geddes,I Remember Mama,False
2192,1948,1949,21,SUPPORTING ACTRESS,Ellen Corby,I Remember Mama,False
2193,1948,1949,21,SUPPORTING ACTRESS,Agnes Moorehead,Johnny Belinda,False
2194,1948,1949,21,SUPPORTING ACTRESS,Jean Simmons,Hamlet,False
2195,1948,1949,21,SUPPORTING ACTRESS,Claire Trevor,Key Largo,True
2213,1948,1949,21,DIRECTING,Laurence Olivier,Hamlet,False
2214,1948,1949,21,DIRECTING,Jean Negulesco,Johnny Belinda,False
2215,1948,1949,21,DIRECTING,Fred Zinnemann,The Search,False
2216,1948,1949,21,DIRECTING,Anatole Litvak,The Snake Pit,False
2217,1948,1949,21,DIRECTING,John Huston,The Treasure of the Sierra Madre,True
2228,1948,1949,21,MUSIC,William Walton,Hamlet,False
2229,1948,1949,21,MUSIC,Hugo Friedhofer,Joan of Arc,False
2230,1948,1949,21,MUSIC,Max Steiner,Johnny Belinda,False
2231,1948,1949,21,MUSIC,Brian Easdale,The Red Shoes,True
2232,1948,1949,21,MUSIC,Alfred Newman,The Snake Pit,False
2233,1948,1949,21,MUSIC,"Johnny Green, Roger Edens",Easter Parade,True
2234,1948,1949,21,MUSIC,Victor Young,The Emperor Waltz,False
2235,1948,1949,21,MUSIC,Lennie Hayton,The Pirate,False
2236,1948,1949,21,MUSIC,Ray Heindorf,Romance on the High Seas,False
2237,1948,1949,21,MUSIC,Alfred Newman,When My Baby Smiles at Me,False
2238,1948,1949,21,MUSIC,Music and Lyrics by Jay Livingston and Ray Evans,The Paleface,True
2239,1948,1949,21,MUSIC,Music by Harold Arlen; Lyrics by Leo Robin,Casbah,False
2240,1948,1949,21,MUSIC,Music by Jule Styne; Lyrics by Sammy Cahn,Romance on the High Seas,False
2241,1948,1949,21,MUSIC,Music by Frederick Hollander; Lyrics by Leo Robin,That Lady in Ermine,False
2242,1948,1949,21,MUSIC,Music and Lyrics by Ramey Idriss and George Tibbles,Wet Blanket Policy,False
2243,1948,1949,21,BEST PICTURE,J. Arthur Rank-Two Cities Films,Hamlet,True
2244,1948,1949,21,BEST PICTURE,Warner Bros.,Johnny Belinda,False
2245,1948,1949,21,BEST PICTURE,J. Arthur Rank-Archers,The Red Shoes,False
2246,1948,1949,21,BEST PICTURE,20th Century-Fox,The Snake Pit,False
2247,1948,1949,21,BEST PICTURE,Warner Bros.,The Treasure of the Sierra Madre,False
2285,1949,1950,22,ACTOR,Broderick Crawford,All the King's Men,True
2286,1949,1950,22,ACTOR,Kirk Douglas,Champion,False
2287,1949,1950,22,ACTOR,Gregory Peck,Twelve O'Clock High,False
2288,1949,1950,22,ACTOR,Richard Todd,The Hasty Heart,False
2289,1949,1950,22,ACTOR,John Wayne,Sands of Iwo Jima,False
2290,1949,1950,22,SUPPORTING ACTOR,John Ireland,All the King's Men,False
2291,1949,1950,22,SUPPORTING ACTOR,Dean Jagger,Twelve O'Clock High,True
2292,1949,1950,22,SUPPORTING ACTOR,Arthur Kennedy,Champion,False
2293,1949,1950,22,SUPPORTING ACTOR,Ralph Richardson,The Heiress,False
2294,1949,1950,22,SUPPORTING ACTOR,James Whitmore,Battleground,False
2295,1949,1950,22,ACTRESS,Jeanne Crain,Pinky,False
2296,1949,1950,22,ACTRESS,Olivia de Havilland,The Heiress,True
2297,1949,1950,22,ACTRESS,Susan Hayward,My Foolish Heart,False
2298,1949,1950,22,ACTRESS,Deborah Kerr,"Edward, My Son",False
2299,1949,1950,22,ACTRESS,Loretta Young,Come to the Stable,False
2300,1949,1950,22,SUPPORTING ACTRESS,Ethel Barrymore,Pinky,False
2301,1949,1950,22,SUPPORTING ACTRESS,Celeste Holm,Come to the Stable,False
2302,1949,1950,22,SUPPORTING ACTRESS,Elsa Lanchester,Come to the Stable,False
2303,1949,1950,22,SUPPORTING ACTRESS,Mercedes McCambridge,All the King's Men,True
2304,1949,1950,22,SUPPORTING ACTRESS,Ethel Waters,Pinky,False
2325,1949,1950,22,DIRECTING,Robert Rossen,All the King's Men,False
2326,1949,1950,22,DIRECTING,William A. Wellman,Battleground,False
2327,1949,1950,22,DIRECTING,Carol Reed,The Fallen Idol,False
2328,1949,1950,22,DIRECTING,William Wyler,The Heiress,False
2329,1949,1950,22,DIRECTING,Joseph L. Mankiewicz,A Letter to Three Wives,True
2341,1949,1950,22,MUSIC,Max Steiner,Beyond the Forest,False
2342,1949,1950,22,MUSIC,Dimitri Tiomkin,Champion,False
2343,1949,1950,22,MUSIC,Aaron Copland,The Heiress,True
2344,1949,1950,22,MUSIC,"Morris Stoloff, George Duning",Jolson Sings Again,False
2345,1949,1950,22,MUSIC,Ray Heindorf,Look for the Silver Lining,False
2346,1949,1950,22,MUSIC,"Roger Edens, Lennie Hayton",On the Town,True
2347,1949,1950,22,MUSIC,Music and Lyrics by Frank Loesser,Neptune's Daughter,True
2348,1949,1950,22,MUSIC,Music by Jule Styne; Lyrics by Sammy Cahn,It's a Great Feeling,False
2349,1949,1950,22,MUSIC,Music by Eliot Daniel; Lyrics by Larry Morey,So Dear to My Heart,False
2350,1949,1950,22,MUSIC,Music by Victor Young; Lyrics by Ned Washington,My Foolish Heart,False
2351,1949,1950,22,MUSIC,Music by Alfred Newman; Lyrics by Mack Gordon,Come to the Stable,False
2352,1949,1950,22,BEST PICTURE,Robert Rossen Productions,All the King's Men,True
2353,1949,1950,22,BEST PICTURE,Metro-Goldwyn-Mayer,Battleground,False
2354,1949,1950,22,BEST PICTURE,Paramount,The Heiress,False
2355,1949,1950,22,BEST PICTURE,20th Century-Fox,A Letter to Three Wives,False
2356,1949,1950,22,BEST PICTURE,20th Century-Fox,Twelve O'Clock High,False
2397,1950,1951,23,ACTOR,Louis Calhern,The Magnificent Yankee,False
2398,1950,1951,23,ACTOR,José Ferrer,Cyrano de Bergerac,True
2399,1950,1951,23,ACTOR,William Holden,Sunset Blvd.,False
2400,1950,1951,23,ACTOR,James Stewart,Harvey,False
2401,1950,1951,23,ACTOR,Spencer Tracy,Father of the Bride,False
2402,1950,1951,23,SUPPORTING ACTOR,Jeff Chandler,Broken Arrow,False
2403,1950,1951,23,SUPPORTING ACTOR,Edmund Gwenn,Mister 880,False
2404,1950,1951,23,SUPPORTING ACTOR,Sam Jaffe,The Asphalt Jungle,False
2405,1950,1951,23,SUPPORTING ACTOR,George Sanders,All about Eve,True
2406,1950,1951,23,SUPPORTING ACTOR,Erich von Stroheim,Sunset Blvd.,False
2407,1950,1951,23,ACTRESS,Anne Baxter,All about Eve,False
2408,1950,1951,23,ACTRESS,Bette Davis,All about Eve,False
2409,1950,1951,23,ACTRESS,Judy Holliday,Born Yesterday,True
2410,1950,1951,23,ACTRESS,Eleanor Parker,Caged,False
2411,1950,1951,23,ACTRESS,Gloria Swanson,Sunset Blvd.,False
2412,1950,1951,23,SUPPORTING ACTRESS,Hope Emerson,Caged,False
2413,1950,1951,23,SUPPORTING ACTRESS,Celeste Holm,All about Eve,False
2414,1950,1951,23,SUPPORTING ACTRESS,Josephine Hull,Harvey,True
2415,1950,1951,23,SUPPORTING ACTRESS,Nancy Olson,Sunset Blvd.,False
2416,1950,1951,23,SUPPORTING ACTRESS,Thelma Ritter,All about Eve,False
2439,1950,1951,23,DIRECTING,Joseph L. Mankiewicz,All about Eve,True
2440,1950,1951,23,DIRECTING,John Huston,The Asphalt Jungle,False
2441,1950,1951,23,DIRECTING,George Cukor,Born Yesterday,False
2442,1950,1951,23,DIRECTING,Billy Wilder,Sunset Blvd.,False
2443,1950,1951,23,DIRECTING,Carol Reed,The Third Man,False
2454,1950,1951,23,MUSIC,Alfred Newman,All about Eve,False
2455,1950,1951,23,MUSIC,Max Steiner,The Flame and the Arrow,False
2456,1950,1951,23,MUSIC,George Duning,No Sad Songs for Me,False
2457,1950,1951,23,MUSIC,Victor Young,Samson and Delilah,False
2458,1950,1951,23,MUSIC,Franz Waxman,Sunset Blvd.,True
2459,1950,1951,23,MUSIC,"Adolph Deutsch, Roger Edens",Annie Get Your Gun,True
2460,1950,1951,23,MUSIC,"Oliver Wallace, Paul J. Smith",Cinderella,False
2461,1950,1951,23,MUSIC,Lionel Newman,I'll Get By,False
2462,1950,1951,23,MUSIC,Andre Previn,Three Little Words,False
2463,1950,1951,23,MUSIC,Ray Heindorf,The West Point Story,False
2464,1950,1951,23,MUSIC,Music by Nicholas Brodszky; Lyrics by Sammy Cahn,The Toast of New Orleans,False
2465,1950,1951,23,MUSIC,"Music and Lyrics by Mack David, Al Hoffman and Jerry Livingston",Cinderella,False
2466,1950,1951,23,MUSIC,Music and Lyrics by Ray Evans and Jay Livingston,"Captain Carey, U.S.A.",True
2467,1950,1951,23,MUSIC,"Music and Lyrics by Fred Glickman, Hy Heath and Johnny Lange",Singing Guns,False
2468,1950,1951,23,MUSIC,Music by Josef Myrow; Lyrics by Mack Gordon,Wabash Avenue,False
2469,1950,1951,23,BEST PICTURE,20th Century-Fox,All about Eve,True
2470,1950,1951,23,BEST PICTURE,Columbia,Born Yesterday,False
2471,1950,1951,23,BEST PICTURE,Metro-Goldwyn-Mayer,Father of the Bride,False
2472,1950,1951,23,BEST PICTURE,Metro-Goldwyn-Mayer,King Solomon's Mines,False
2473,1950,1951,23,BEST PICTURE,Paramount,Sunset Blvd.,False
2509,1951,1952,24,ACTOR,Humphrey Bogart,The African Queen,True
2510,1951,1952,24,ACTOR,Marlon Brando,A Streetcar Named Desire,False
2511,1951,1952,24,ACTOR,Montgomery Clift,A Place in the Sun,False
2512,1951,1952,24,ACTOR,Arthur Kennedy,Bright Victory,False
2513,1951,1952,24,ACTOR,Fredric March,Death of a Salesman,False
2514,1951,1952,24,SUPPORTING ACTOR,Leo Genn,Quo Vadis,False
2515,1951,1952,24,SUPPORTING ACTOR,Kevin McCarthy,Death of a Salesman,False
2516,1951,1952,24,SUPPORTING ACTOR,Karl Malden,A Streetcar Named Desire,True
2517,1951,1952,24,SUPPORTING ACTOR,Peter Ustinov,Quo Vadis,False
2518,1951,1952,24,SUPPORTING ACTOR,Gig Young,Come Fill the Cup,False
2519,1951,1952,24,ACTRESS,Katharine Hepburn,The African Queen,False
2520,1951,1952,24,ACTRESS,Vivien Leigh,A Streetcar Named Desire,True
2521,1951,1952,24,ACTRESS,Eleanor Parker,Detective Story,False
2522,1951,1952,24,ACTRESS,Shelley Winters,A Place in the Sun,False
2523,1951,1952,24,ACTRESS,Jane Wyman,The Blue Veil,False
2524,1951,1952,24,SUPPORTING ACTRESS,Joan Blondell,The Blue Veil,False
2525,1951,1952,24,SUPPORTING ACTRESS,Mildred Dunnock,Death of a Salesman,False
2526,1951,1952,24,SUPPORTING ACTRESS,Lee Grant,Detective Story,False
2527,1951,1952,24,SUPPORTING ACTRESS,Kim Hunter,A Streetcar Named Desire,True
2528,1951,1952,24,SUPPORTING ACTRESS,Thelma Ritter,The Mating Season,False
2559,1951,1952,24,DIRECTING,John Huston,The African Queen,False
2560,1951,1952,24,DIRECTING,Vincente Minnelli,An American in Paris,False
2561,1951,1952,24,DIRECTING,William Wyler,Detective Story,False
2562,1951,1952,24,DIRECTING,George Stevens,A Place in the Sun,True
2563,1951,1952,24,DIRECTING,Elia Kazan,A Streetcar Named Desire,False
2574,1951,1952,24,MUSIC,Alfred Newman,David and Bathsheba,False
2575,1951,1952,24,MUSIC,Alex North,Death of a Salesman,False
2576,1951,1952,24,MUSIC,Franz Waxman,A Place in the Sun,True
2577,1951,1952,24,MUSIC,Miklos Rozsa,Quo Vadis,False
2578,1951,1952,24,MUSIC,Alex North,A Streetcar Named Desire,False
2579,1951,1952,24,MUSIC,Oliver Wallace,Alice in Wonderland,False
2580,1951,1952,24,MUSIC,"Johnny Green, Saul Chaplin",An American in Paris,True
2581,1951,1952,24,MUSIC,"Peter Herman Adler, Johnny Green",The Great Caruso,False
2582,1951,1952,24,MUSIC,Alfred Newman,On the Riviera,False
2583,1951,1952,24,MUSIC,"Adolph Deutsch, Conrad Salinger",Show Boat,False
2584,1951,1952,24,MUSIC,Music by Hoagy Carmichael; Lyrics by Johnny Mercer,Here Comes the Groom,True
2585,1951,1952,24,MUSIC,"Music and Lyrics by Bert Kalmar, Harry Ruby and Oscar Hammerstein II",The Strip,False
2586,1951,1952,24,MUSIC,Music by Lionel Newman; Lyrics by Eliot Daniel,Golden Girl,False
2587,1951,1952,24,MUSIC,Music by Burton Lane; Lyrics by Alan Jay Lerner,Royal Wedding,False
2588,1951,1952,24,MUSIC,Music by Nicholas Brodszky; Lyrics by Sammy Cahn,"Rich, Young and Pretty",False
2589,1951,1952,24,BEST PICTURE,"Arthur Freed, Producer",An American in Paris,True
2590,1951,1952,24,BEST PICTURE,"Anatole Litvak and Frank McCarthy, Producers",Decision before Dawn,False
2591,1951,1952,24,BEST PICTURE,"George Stevens, Producer",A Place in the Sun,False
2592,1951,1952,24,BEST PICTURE,"Sam Zimbalist, Producer",Quo Vadis,False
2593,1951,1952,24,BEST PICTURE,"Charles K. Feldman, Producer",A Streetcar Named Desire,False
2627,1952,1953,25,ACTOR,Marlon Brando,Viva Zapata!,False
2628,1952,1953,25,ACTOR,Gary Cooper,High Noon,True
2629,1952,1953,25,ACTOR,Kirk Douglas,The Bad and the Beautiful,False
2630,1952,1953,25,ACTOR,José Ferrer,Moulin Rouge,False
2631,1952,1953,25,ACTOR,Alec Guinness,The Lavender Hill Mob,False
2632,1952,1953,25,SUPPORTING ACTOR,Richard Burton,My Cousin Rachel,False
2633,1952,1953,25,SUPPORTING ACTOR,Arthur Hunnicutt,The Big Sky,False
2634,1952,1953,25,SUPPORTING ACTOR,Victor McLaglen,The Quiet Man,False
2635,1952,1953,25,SUPPORTING ACTOR,Jack Palance,Sudden Fear,False
